Cantón,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,Province,2020-03-26
Alajuela,0,12,13,15,18,22,25,26,28,35,36,Alajuela,45
Alvarado,0,0,0,0,0,0,0,0,0,0,0,Cartago,1
Aserrí,0,0,0,0,0,0,0,1,2,2,2,San José,2
Atenas,0,1,1,1,1,1,1,2,2,2,2,Alajuela,2
Barva,1,1,1,1,2,1,1,1,1,1,1,Heredia,1
Belén,0,0,0,0,0,0,0,0,0,0,0,Heredia,1
Cartago,0,0,1,3,4,4,4,4,4,4,4,Cartago,5
Coto Brus,0,0,0,0,0,0,0,1,2,2,2,Puntarenas,2
Curridabat,0,0,1,2,3,5,5,5,5,5,5,San José,5
Desamparados,4,4,4,4,4,5,4,4,5,5,7,San José,8
El Guarco,0,0,0,0,0,0,0,0,0,0,0,Cartago,2
Escazú,4,5,5,6,9,11,11,11,11,13,13,San José,13
Flores,0,0,0,0,0,0,0,0,0,0,0,Heredia,1
Garabito,0,0,0,0,0,0,0,0,0,0,0,Puntarenas,2
Goicoechea,0,0,0,1,1,1,0,0,7,7,8,San José,8
Grecia,2,2,3,3,3,5,5,5,5,7,7,Alajuela,9
Heredia,1,1,1,1,4,4,4,4,6,7,9,Heredia,9
Jiménez,0,0,0,0,0,0,0,0,0,0,0,Cartago,2
La Unión,1,1,1,2,2,2,5,5,6,6,6,Cartago,6
Liberia,0,0,0,0,0,0,0,0,0,0,0,Guanacaste,1
Limón,0,0,0,0,1,1,1,1,1,1,1,Limón,1
Montes de Oca,0,0,0,0,0,2,3,3,3,3,5,San José,5
Montes de Oro,0,0,0,0,0,0,0,0,0,0,0,Puntarenas,1
Moravia,0,0,0,1,1,3,4,5,6,6,6,San José,6
Nicoya,1,1,1,1,1,2,3,3,3,3,3,Guanacaste,3
Oreamuno,0,0,0,0,0,0,0,0,0,0,0,Cartago,2
Orotina,0,0,0,0,0,0,0,0,0,0,0,Alajuela,1
Palmares,0,0,0,0,0,0,0,0,1,1,1,Alajuela,1
Poás,1,1,1,2,4,4,5,5,5,5,5,Alajuela,5
Puntarenas,0,0,0,0,0,0,0,0,0,0,0,Puntarenas,3
Pérez Zeledón,1,1,3,3,3,3,3,3,3,3,3,San José,3
San Carlos,0,0,0,0,0,2,2,2,3,5,5,Alajuela,6
San José,3,4,6,10,14,13,12,17,17,18,21,San José,23
San Pablo,1,1,1,1,3,3,3,4,4,4,4,Heredia,4
San Rafael,0,0,0,0,0,0,1,2,2,2,2,Heredia,2
Santa Ana,2,2,3,3,3,6,7,11,14,13,14,San José,16
Santa Bárbara,0,0,0,1,1,1,1,1,2,2,2,Heredia,2
Santa Cruz,2,2,2,2,2,2,2,2,2,2,2,Guanacaste,2
Santo Domingo,0,0,0,1,1,1,1,1,1,1,2,Heredia,2
Sarchí,0,0,0,0,0,0,0,0,0,0,0,Alajuela,2
Tibás,1,1,1,1,1,1,2,3,5,6,10,San José,12
Tilarán,0,0,0,0,0,0,0,0,0,0,0,Guanacaste,1
Vásquez de Coronado,0,0,0,0,0,0,0,0,0,0,0,San José,2
