Cantón,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,Province,2020-03-31
Alajuela,0,12,13,15,18,22,25,26,28,35,36,45,46,53,55,55,Alajuela,58
Alajuelita,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,San José,2
Alvarado,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Cartago,1
Aserrí,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,San José,2
Atenas,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,Alajuela,2
Barva,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,Heredia,2
Belén,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,Heredia,2
Carrillo,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,Guanacaste,2
Cartago,0,0,1,3,4,4,4,4,4,4,4,5,5,5,5,5,Cartago,5
Coto Brus,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,Puntarenas,2
Curridabat,0,0,1,2,3,5,5,5,5,5,5,5,7,8,8,10,San José,11
Desamparados,4,4,4,4,4,5,4,4,5,5,7,8,12,11,13,13,San José,15
El Guarco,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,Cartago,4
Escazú,4,5,5,6,9,11,11,11,11,13,13,13,14,16,17,18,San José,19
Flores,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Heredia,1
Garabito,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,5,Puntarenas,5
Goicoechea,0,0,0,1,1,1,0,0,7,7,8,8,9,10,10,10,San José,11
Grecia,2,2,3,3,3,5,5,5,5,7,7,9,11,13,13,13,Alajuela,13
Heredia,1,1,1,1,4,4,4,4,6,7,9,9,9,9,9,9,Heredia,11
Jiménez,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,Cartago,2
La Unión,1,1,1,2,2,2,5,5,6,6,6,6,6,7,7,8,Cartago,9
Liberia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Guanacaste,1
Limón,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Limón,1
Montes de Oca,0,0,0,0,0,2,3,3,3,3,5,5,5,8,8,8,San José,8
Montes de Oro,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,Puntarenas,2
Mora,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,San José,1
Moravia,0,0,0,1,1,3,4,5,6,6,6,6,7,8,8,8,San José,8
Naranjo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Alajuela,1
Nicoya,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,Guanacaste,3
Oreamuno,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,Cartago,3
Orotina,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,5,Alajuela,5
Osa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Puntarenas,1
Palmares,0,0,0,0,0,0,0,0,1,1,1,1,1,5,6,5,Alajuela,6
Poás,1,1,1,2,4,4,5,5,5,5,5,5,6,6,6,6,Alajuela,6
Puntarenas,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,3,Puntarenas,3
Puriscal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Pérez Zeledón,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,San José,3
San Carlos,0,0,0,0,0,2,2,2,3,5,5,6,8,8,8,10,Alajuela,8
San Isidro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Heredia,1
San José,3,4,6,10,14,13,12,17,17,18,21,23,26,29,32,33,San José,36
San Pablo,1,1,1,1,3,3,3,4,4,4,4,4,5,5,7,8,Heredia,9
San Rafael,0,0,0,0,0,0,1,2,2,2,2,2,3,5,5,5,Heredia,6
San Ramón,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,Alajuela,3
Santa Ana,2,2,3,3,3,6,7,11,14,13,14,16,16,16,19,19,San José,22
Santa Bárbara,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,Heredia,3
Santa Cruz,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,Guanacaste,3
Santo Domingo,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,Heredia,3
Sarchí,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,Alajuela,3
Tarrazú,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,San José,1
Tibás,1,1,1,1,1,1,2,3,5,6,10,12,11,11,12,12,San José,12
Tilarán,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Guanacaste,1
Turrubares,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,San José,2
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,
Vásquez de Coronado,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,San José,3
