provincia,canton,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020
Alajuela,Alajuela,9,12,13,15,18,22,25,26,28,35,36,45,46,53,55,55,58,61,61,62
San José,San José,3,4,6,10,14,13,12,17,17,18,21,23,26,29,32,33,36,42,44,46
San José,Santa Ana,2,2,3,3,3,6,7,11,14,13,14,16,16,16,19,19,22,24,25,26
San José,Desamparados,4,4,4,4,4,5,4,4,5,5,7,8,12,11,13,13,15,17,18,19
San José,Escazú,4,5,5,6,9,11,11,11,11,13,13,13,14,16,17,18,19,18,18,18
Heredia,Heredia,1,1,1,1,4,4,4,4,6,7,9,9,9,9,9,9,11,13,15,15
San José,Tibás,1,1,1,1,1,1,2,3,5,6,10,12,11,11,12,12,12,13,12,15
San José,Curridabat,0,0,1,2,3,5,5,5,5,5,5,5,7,8,8,10,11,12,14,14
Alajuela,Grecia,2,2,3,3,3,5,5,5,5,7,7,9,11,13,13,13,13,14,14,14
San José,Goicoechea,0,0,0,1,1,1,0,0,7,7,8,8,9,10,10,10,11,10,11,10
Cartago,La Unión,1,1,1,2,2,2,5,5,6,6,6,6,6,7,7,8,9,9,10,10
San José,Moravia,0,0,0,1,1,3,4,5,6,6,6,6,7,8,8,8,8,9,10,10
Alajuela,San Carlos,0,0,0,0,0,2,2,2,3,5,5,6,8,8,8,10,8,9,11,10
Heredia,San Pablo,1,1,1,1,3,3,3,4,4,4,4,4,5,5,7,8,9,9,9,10
San José,Montes de Oca,0,0,0,0,0,2,3,3,3,3,5,5,5,8,8,8,8,9,9,9
Cartago,Cartago,0,0,1,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,8
Puntarenas,Garabito,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,5,7,7,7
Alajuela,Palmares,0,0,0,0,0,0,0,0,1,1,1,1,1,5,6,5,6,6,7,7
Heredia,Barva,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,6
Alajuela,Poás,1,1,1,2,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6
